SourceRow;WorkerID;RawPrefix;PrefixASCII;TailN;OriginalFilename;CalculatedFilename;Result;OriginalLen;CalculatedLen;FirstDiffPos;OriginalAtDiff;CalculatedAtDiff;Block1;Block2;Tail
348;1EB4J00101;71;71;5;140I120Z0L170H0H0I0H0I362K34312N392J2K2L2J2K0--0I120Z0L171G0I0H0I631I0;140I120Z0L170H0H0I0H0I362K34312N392J2K2L2J2K0--0I120Z0L171G0I0H0I631I0;OK;70;70;;;;140I120Z0L170H0H0I0H0I;362K34312N392J2K2L2J2K;0I120Z0L171G0I0H0I631I0
349;5900000101;15;71;2;140M0Q0H0H0H0H0H0I0H0I362O2S2J2K2J2K2J2K2J2K0--0M0Q050I0H0I660A0;140M0Q0H0H0H0H0H0I0H0I362O2S2J2K2J2K2J2K2J2K0--0M0Q050I0H0I660A0;OK;64;64;;;;140M0Q0H0H0H0H0H0I0H0I;362O2S2J2K2J2K2J2K2J2K;0M0Q050I0H0I660A0
350;7700000101;15;71;2;140O0O0H0H0H0H0H0I0H0I362Q2R2J2K2J2K2J2K2J2K0--0O0O050I0H0I660A0;140O0O0H0H0H0H0H0I0H0I362Q2R2J2K2J2K2J2K2J2K0--0O0O050I0H0I660A0;OK;64;64;;;;140O0O0H0H0H0H0H0I0H0I;362Q2R2J2K2J2K2J2K2J2K;0O0O050I0H0I660A0
351;9410000101;15;71;3;140Q0L0I0H0H0H0H0I0H0I362S2N2K2J2K2J2K2L2J2K0--0Q0L0I1I0I0H0I651M;140Q0L0I0H0H0H0H0I0H0I362S2N2K2J2K2J2K2L2J2K0--0Q0L0I1I0I0H0I651M;OK;65;65;;;;140Q0L0I0H0H0H0H0I0H0I;362S2N2K2J2K2J2K2L2J2K;0Q0L0I1I0I0H0I651M
352;1680000101;16;72;3;150I0N0P0H0H0H0H0I0H0I382L2Q2S2K2L2K2L2M2K2L0--0I0N0P1J0I0I0H651N;150I0N0P0H0H0H0H0I0H0I382L2Q2S2K2L2K2L2M2K2L0--0I0N0P1J0I0I0H651N;OK;65;65;;;;150I0N0P0H0H0H0H0I0H0I;382L2Q2S2K2L2K2L2M2K2L;0I0N0P1J0I0I0H651N
353;1770000101;16;72;3;150I0O0O0H0H0H0H0I0H0I382L2R2S2K2L2K2L2M2K2L0--0I0O0O1J0I0I0H651N;150I0O0O0H0H0H0H0I0H0I382L2R2S2K2L2K2L2M2K2L0--0I0O0O1J0I0I0H651N;OK;65;65;;;;150I0O0O0H0H0H0H0I0H0I;382L2R2S2K2L2K2L2M2K2L;0I0O0O1J0I0I0H651N
354;3750000101;16;72;3;150K0O0M0H0H0H0H0I0H0I382N2R2P2K2L2K2L2M2K2L0--0K0O0M1J0I0I0H651N;150K0O0M0H0H0H0H0I0H0I382N2R2P2K2L2K2L2M2K2L0--0K0O0M1J0I0I0H651N;OK;65;65;;;;150K0O0M0H0H0H0H0I0H0I;382N2R2P2K2L2K2L2M2K2L;0K0O0M1J0I0I0H651N
355;UPZRJ00101;172;72;5;151I1D1N1F170H0H0I0H0I383L3G3Q3I3A2K2L2M2K2L0--1I1D1N1F171H0I0I0H631J0;151I1D1N1F170H0H0I0H0I383L3G3Q3I3A2K2L2M2K2L0--1I1D1N1F171H0I0I0H631J0;OK;70;70;;;;151I1D1N1F170H0H0I0H0I;383L3G3Q3I3A2K2L2M2K2L;1I1D1N1F171H0I0I0H631J0
356;1870000101;17;73;3;160I0P0O0H0H0H0H0I0H0I3A2M2T2S2L2M2L2M2N2L2M0--0I0P0O1K0I0H0I651O;160I0P0O0H0H0H0H0I0H0I3A2M2T2S2L2M2L2M2N2L2M0--0I0P0O1K0I0H0I651O;OK;65;65;;;;160I0P0O0H0H0H0H0I0H0I;3A2M2T2S2L2M2L2M2N2L2M;0I0P0O1K0I0H0I651O
357;1960000101;17;73;3;160I0Q0N0H0H0H0H0I0H0I3A2M2U2R2L2M2L2M2N2L2M0--0I0Q0N1K0I0H0I651O;160I0Q0N0H0H0H0H0I0H0I3A2M2U2R2L2M2L2M2N2L2M0--0I0Q0N1K0I0H0I651O;OK;65;65;;;;160I0Q0N0H0H0H0H0I0H0I;3A2M2U2R2L2M2L2M2N2L2M;0I0Q0N1K0I0H0I651O
358;8800000101;17;73;2;160P0P0H0H0H0H0H0I0H0I3A2T2U2L2M2L2M2L2M2L2M0--0P0P070I0H0I660C0;160P0P0H0H0H0H0H0I0H0I3A2T2U2L2M2L2M2L2M2L2M0--0P0P070I0H0I660C0;OK;64;64;;;;160P0P0H0H0H0H0H0I0H0I;3A2T2U2L2M2L2M2L2M2L2M;0P0P070I0H0I660C0
359;9700000101;17;73;2;160Q0O0H0H0H0H0H0I0H0I3A2U2S2L2M2L2M2L2M2L2M0--0Q0O070I0H0I660C0;160Q0O0H0H0H0H0H0I0H0I3A2U2S2L2M2L2M2L2M2L2M0--0Q0O070I0H0I660C0;OK;64;64;;;;160Q0O0H0H0H0H0H0I0H0I;3A2U2S2L2M2L2M2L2M2L2M;0Q0O070I0H0I660C0
360;1790000101;18;74;3;170I0O0Q0H0H0H0H0I0H0I3C2N2T2V2M2N2M2N2O2M2N0--0I0O0Q1L0I0I0H651P;170I0O0Q0H0H0H0H0I0H0I3C2N2T2V2M2N2M2N2O2M2N0--0I0O0Q1L0I0I0H651P;OK;65;65;;;;170I0O0Q0H0H0H0H0I0H0I;3C2N2T2V2M2N2M2N2O2M2N;0I0O0Q1L0I0I0H651P
361;3EA7I00101;74;74;5;170K120Y0O160H0H0I0H0I3C2P37332T3B2M2N2O2M2N0--0K120Y0O161J0I0I0H631L0;170K120Y0O160H0H0I0H0I3C2P37332T3B2M2N2O2M2N0--0K120Y0O161J0I0I0H631L0;OK;70;70;;;;170K120Y0O160H0H0I0H0I;3C2P37332T3B2M2N2O2M2N;0K120Y0O161J0I0I0H631L0
362;1890000101;19;75;3;180I0P0Q0H0H0H0H0I0H0I3E2O2V2W2N2O2N2O2P2N2O0--0I0P0Q1M0I0H0I651Q;180I0P0Q0H0H0H0H0I0H0I3E2O2V2W2N2O2N2O2P2N2O0--0I0P0Q1M0I0H0I651Q;OK;65;65;;;;180I0P0Q0H0H0H0H0I0H0I;3E2O2V2W2N2O2N2O2P2N2O;0I0P0Q1M0I0H0I651Q
363;1980000101;19;75;3;180I0Q0P0H0H0H0H0I0H0I3E2O2W2V2N2O2N2O2P2N2O0--0I0Q0P1M0I0H0I651Q;180I0Q0P0H0H0H0H0I0H0I3E2O2W2V2N2O2N2O2P2N2O0--0I0Q0P1M0I0H0I651Q;OK;65;65;;;;180I0Q0P0H0H0H0H0I0H0I;3E2O2W2V2N2O2N2O2P2N2O;0I0Q0P1M0I0H0I651Q
364;9900000101;19;75;2;180Q0Q0H0H0H0H0H0I0H0I3E2W2X2N2O2N2O2N2O2N2O0--0Q0Q090I0H0I660E0;180Q0Q0H0H0H0H0H0I0H0I3E2W2X2N2O2N2O2N2O2N2O0--0Q0Q090I0H0I660E0;OK;64;64;;;;180Q0Q0H0H0H0H0H0I0H0I;3E2W2X2N2O2N2O2N2O2N2O;0Q0Q090I0H0I660E0
