SourceRow;Filename;WorkerID;Prefix_ASC;TailRaw;TailLen;PairCount;TrailingChar;FirstZeroPos;SignificantLen;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;T01_RAW;T02_RAW;T03_RAW;T04_RAW;T05_RAW;T06_RAW;T07_RAW;T08_RAW;T09_RAW;T10_RAW;T11_RAW;T01_NUM;T02_NUM;T03_NUM;T04_NUM;T05_NUM;T06_NUM;T07_NUM;T08_NUM;T09_NUM;T10_NUM;T11_NUM;T01_PLUS31;T02_PLUS31;T03_PLUS31;T04_PLUS31;T05_PLUS31;T06_PLUS31;T07_PLUS31;T08_PLUS31;T09_PLUS31;T10_PLUS31;T11_PLUS31;T01_MATCH_W;T02_MATCH_W;T03_MATCH_W;T04_MATCH_W;T05_MATCH_W;T06_MATCH_W;T07_MATCH_W;T08_MATCH_W;T09_MATCH_W;T10_MATCH_W;T11_MATCH_W;;;SOUHRN;
32;021A0K0H0H0H0H0H0I0H0I122A1K1H1I1H1I1H1I1H1I0--1A0K0N0I0H0I660S0;M300000101;33;1A0K0N0I0H0I660S0;17;8;0;3;2;M;3;0;0;0;0;0;1;0;1;77;51;48;48;48;48;48;49;48;49;46;20;17;17;17;17;17;18;17;18;1A;0K;0N;0I;0H;0I;66;0S;;;;46;20;23;18;17;18;222;28;;;;77;51;54;49;48;49;253;59;;;;W01;W02;;W08,W10;W03,W04,W05,W06,W07,W09;W08,W10;;;;;;;;;
33;021B0J0H0H0H0H0H0I0H0I122B1J1H1I1H1I1H1I1H1I0--1B0J0N0I0H0I660S0;N200000101;33;1B0J0N0I0H0I660S0;17;8;0;3;2;N;2;0;0;0;0;0;1;0;1;78;50;48;48;48;48;48;49;48;49;47;19;17;17;17;17;17;18;17;18;1B;0J;0N;0I;0H;0I;66;0S;;;;47;19;23;18;17;18;222;28;;;;78;50;54;49;48;49;253;59;;;;W01;W02;;W08,W10;W03,W04,W05,W06,W07,W09;W08,W10;;;;;;;;;
34;030I140Q0H0H0H0H0I0H0I141J251R1I1J1I1J1K1I1J0--0I140Q210I0I0H6525;1G90000101;34;0I140Q210I0I0H6525;18;9;;4;3;1;G;9;0;0;0;0;1;0;1;49;71;57;48;48;48;48;49;48;49;18;40;26;17;17;17;17;18;17;18;0I;14;0Q;21;0I;0I;0H;65;25;;;18;40;26;73;18;18;17;221;77;;;49;71;57;104;49;49;48;252;108;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
35;030I160O0H0H0H0H0I0H0I141J271P1I1J1I1J1K1I1J0--0I160O210I0I0H6525;1I70000101;34;0I160O210I0I0H6525;18;9;;4;3;1;I;7;0;0;0;0;1;0;1;49;73;55;48;48;48;48;49;48;49;18;42;24;17;17;17;17;18;17;18;0I;16;0O;21;0I;0I;0H;65;25;;;18;42;24;73;18;18;17;221;77;;;49;73;55;104;49;49;48;252;108;;;W01,W08,W10;W02;W03;;W01,W08,W10;W01,W08,W10;W04,W05,W06,W07,W09;;;;;;;;
36;030J190K0H0H0H0H0I0H0I141K2A1L1I1J1I1J1K1I1J0--0J190K210I0I0H6525;2L30000101;34;0J190K210I0I0H6525;18;9;;4;3;2;L;3;0;0;0;0;1;0;1;50;76;51;48;48;48;48;49;48;49;19;45;20;17;17;17;17;18;17;18;0J;19;0K;21;0I;0I;0H;65;25;;;19;45;20;73;18;18;17;221;77;;;50;76;51;104;49;49;48;252;108;;;W01;W02;W03;;W08,W10;W08,W10;W04,W05,W06,W07,W09;;;;;;;;
37;0310151G1A170H0H0I0H0I1421262H2B281I1J1K1I1J0--10151G1A170F0I0I0H630H0;CHSMJ00101;34;10151G1A170F0I0I0H630H0;23;11;0;6;5;C;H;S;M;J;0;0;1;0;1;67;72;83;77;74;48;48;49;48;49;36;41;52;46;43;17;17;18;17;18;10;15;1G;1A;17;0F;0I;0I;0H;63;0H;36;41;52;46;43;15;18;18;17;219;17;67;72;83;77;74;46;49;49;48;250;48;W01;W02;W03;W04;W05;;W08,W10;W08,W10;W06,W07,W09;;W06,W07,W09;;;;
38;03170O0H0H0H0H0H0I0H0I14281P1I1J1I1J1I1J1I1J0--170O0O0I0I0H660T0;J700000101;34;170O0O0I0I0H660T0;17;8;0;3;2;J;7;0;0;0;0;0;1;0;1;74;55;48;48;48;48;48;49;48;49;43;24;17;17;17;17;17;18;17;18;17;0O;0O;0I;0I;0H;66;0T;;;;43;24;24;18;18;17;222;29;;;;74;55;55;49;49;48;253;60;;;;W01;W02;W02;W08,W10;W08,W10;W03,W04,W05,W06,W07,W09;;;;;;;;;
39;031C0M1E1J170H0H0I0H0I142D1N2F2K281I1J1K1I1J0--1C0M1E1J170F0I0I0H630H0;O5QVJ00101;34;1C0M1E1J170F0I0I0H630H0;23;11;0;6;5;O;5;Q;V;J;0;0;1;0;1;79;53;81;86;74;48;48;49;48;49;48;22;50;55;43;17;17;18;17;18;1C;0M;1E;1J;17;0F;0I;0I;0H;63;0H;48;22;50;55;43;15;18;18;17;219;17;79;53;81;86;74;46;49;49;48;250;48;W01;W02;W03;W04;W05;;W08,W10;W08,W10;W06,W07,W09;;W06,W07,W09;;;;
40;040I160P0H0H0H0H0I0H0I161K281R1J1K1J1K1L1J1K0--0I160P220I0H0I6526;1I80000101;35;0I160P220I0H0I6526;18;9;;4;3;1;I;8;0;0;0;0;1;0;1;49;73;56;48;48;48;48;49;48;49;18;42;25;17;17;17;17;18;17;18;0I;16;0P;22;0I;0H;0I;65;26;;;18;42;25;74;18;17;18;221;78;;;49;73;56;105;49;48;49;252;109;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
41;040I170O0H0H0H0H0I0H0I161K291Q1J1K1J1K1L1J1K0--0I170O220I0H0I6526;1J70000101;35;0I170O220I0H0I6526;18;9;;4;3;1;J;7;0;0;0;0;1;0;1;49;74;55;48;48;48;48;49;48;49;18;43;24;17;17;17;17;18;17;18;0I;17;0O;22;0I;0H;0I;65;26;;;18;43;24;74;18;17;18;221;78;;;49;74;55;105;49;48;49;252;109;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
