SourceRow;Filename;CastPredDash;Blok1Raw;Blok1Decoded;Prefix;WorkerID;Blok2Raw;Blok2Decoded;TailRaw;TailDecoded;TrailingChar;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;TailTrailingChar
187;0E0J14100H0H0H0H0I0H0I1Q1V2G2C1T1U1T1U1V1T1U0--0J14102C0I0H0I652G;0E0J14100H0H0H0H0I0H0I1Q1V2G2C1T1U1T1U1V1T1U0;0E0J14100H0H0H0H0I0H0I;-2GC0000101;-;2GC0000101;1Q1V2G2C1T1U1T1U1V1T1U;]bws`a`ab`a;0J14102C0I0H0I652G;2GCs101üw;0;0E;0J;14;10;0H;0H;0H;0H;0I;0H;0I;1Q;1V;2G;2C;1T;1U;1T;1U;1V;1T;1U;0J;14;10;2C;0I;0H;0I;65;2G;;;
188;0E0J1F0P0H0H0H0H0I0H0I1Q1V2R211T1U1T1U1V1T1U0--0J1F0P2C0I0H0I652G;0E0J1F0P0H0H0H0H0I0H0I1Q1V2R211T1U1T1U1V1T1U0;0E0J1F0P0H0H0H0H0I0H0I;-2R80000101;-;2R80000101;1Q1V2R211T1U1T1U1V1T1U;]b‚h`a`ab`a;0J1F0P2C0I0H0I652G;2R8s101üw;0;0E;0J;1F;0P;0H;0H;0H;0H;0I;0H;0I;1Q;1V;2R;21;1T;1U;1T;1U;1V;1T;1U;0J;1F;0P;2C;0I;0H;0I;65;2G;;;
189;0E1C1B161D170H0H0I0H0I1Q2O2N2I2P2J1T1U1V1T1U0--1C1B161D170Q0I0H0I630S0;0E1C1B161D170H0H0I0H0I1Q2O2N2I2P2J1T1U1V1T1U0;0E1C1B161D170H0H0I0H0I;-ONIPJ00101;-;ONIPJ00101;1Q2O2N2I2P2J1T1U1V1T1U;]~y€z`ab`a;1C1B161D170Q0I0H0I630S0;"ONIPJ9101ú;";0;0E;1C;1B;16;1D;17;0H;0H;0I;0H;0I;1Q;2O;2N;2I;2P;2J;1T;1U;1V;1T;1U;1C;1B;16;1D;17;0Q;0I;0H;0I;63;0S;0
190;0E1N0J0H0H0H0H0H0I0H0I1Q2Z1V1T1U1T1U1T1U1T1U0--1N0J0Z0I0H0I66140;0E1N0J0H0H0H0H0H0I0H0I1Q2Z1V1T1U1T1U1T1U1T1U0;0E1N0J0H0H0H0H0H0I0H0I;-Z200000101;-;Z200000101;1Q2Z1V1T1U1T1U1T1U1T1U;]Šb`a`a`a`a;1N0J0Z0I0H0I66140;Z2B101ýG;0;0E;1N;0J;0H;0H;0H;0H;0H;0I;0H;0I;1Q;2Z;1V;1T;1U;1T;1U;1T;1U;1T;1U;1N;0J;0Z;0I;0H;0I;66;14;;;;0
191;0F0I1H0P0H0H0H0H0I0H0I1S1V2U221U1V1U1V1W1U1V0--0I1H0P2D0I0I0H652H;0F0I1H0P0H0H0H0H0I0H0I1S1V2U221U1V1U1V1W1U1V0;0F0I1H0P0H0H0H0H0I0H0I;.1T80000101;.;1T80000101;1S1V2U221U1V1U1V1W1U1V;_b…iababcab;0I1H0P2D0I0I0H652H;1T8t110üx;0;0F;0I;1H;0P;0H;0H;0H;0H;0I;0H;0I;1S;1V;2U;22;1U;1V;1U;1V;1W;1U;1V;0I;1H;0P;2D;0I;0I;0H;65;2H;;;
192;0F0I1I0O0H0H0H0H0I0H0I1S1V2V211U1V1U1V1W1U1V0--0I1I0O2D0I0I0H652H;0F0I1I0O0H0H0H0H0I0H0I1S1V2V211U1V1U1V1W1U1V0;0F0I1I0O0H0H0H0H0I0H0I;.1U70000101;.;1U70000101;1S1V2V211U1V1U1V1W1U1V;_b†hababcab;0I1I0O2D0I0I0H652H;1U7t110üx;0;0F;0I;1I;0O;0H;0H;0H;0H;0I;0H;0I;1S;1V;2V;21;1U;1V;1U;1V;1W;1U;1V;0I;1I;0O;2D;0I;0I;0H;65;2H;;;
193;0F0I1L0L0H0H0H0H0I0H0I1S1V2Y1Y1U1V1U1V1W1U1V0--0I1L0L2D0I0I0H652H;0F0I1L0L0H0H0H0H0I0H0I1S1V2Y1Y1U1V1U1V1W1U1V0;0F0I1L0L0H0H0H0H0I0H0I;.1X40000101;.;1X40000101;1S1V2Y1Y1U1V1U1V1W1U1V;_b‰eababcab;0I1L0L2D0I0I0H652H;1X4t110üx;0;0F;0I;1L;0L;0H;0H;0H;0H;0I;0H;0I;1S;1V;2Y;1Y;1U;1V;1U;1V;1W;1U;1V;0I;1L;0L;2D;0I;0I;0H;65;2H;;;
194;0F0J170Y0H0H0H0H0I0H0I1S1W2K2B1U1V1U1V1W1U1V0--0J170Y2D0I0I0H652H;0F0J170Y0H0H0H0H0I0H0I1S1W2K2B1U1V1U1V1W1U1V0;0F0J170Y0H0H0H0H0I0H0I;.2JA0000101;.;2JA0000101;1S1W2K2B1U1V1U1V1W1U1V;_c{rababcab;0J170Y2D0I0I0H652H;2JAt110üx;0;0F;0J;17;0Y;0H;0H;0H;0H;0I;0H;0I;1S;1W;2K;2B;1U;1V;1U;1V;1W;1U;1V;0J;17;0Y;2D;0I;0I;0H;65;2H;;;
195;0F0K1F0P0H0H0H0H0I0H0I1S1X2S221U1V1U1V1W1U1V0--0K1F0P2D0I0I0H652H;0F0K1F0P0H0H0H0H0I0H0I1S1X2S221U1V1U1V1W1U1V0;0F0K1F0P0H0H0H0H0I0H0I;.3R80000101;.;3R80000101;1S1X2S221U1V1U1V1W1U1V;_diababcab;0K1F0P2D0I0I0H652H;3R8t110üx;0;0F;0K;1F;0P;0H;0H;0H;0H;0I;0H;0I;1S;1X;2S;22;1U;1V;1U;1V;1W;1U;1V;0K;1F;0P;2D;0I;0I;0H;65;2H;;;
196;0F0N1J0I0H0H0H0H0I0H0I1S202W1V1U1V1U1V1W1U1V0--0N1J0I2D0I0I0H652H;0F0N1J0I0H0H0H0H0I0H0I1S202W1V1U1V1U1V1W1U1V0;0F0N1J0I0H0H0H0H0I0H0I;.6V10000101;.;6V10000101;1S202W1V1U1V1U1V1W1U1V;_g‡bababcab;0N1J0I2D0I0I0H652H;6V1t110üx;0;0F;0N;1J;0I;0H;0H;0H;0H;0I;0H;0I;1S;20;2W;1V;1U;1V;1U;1V;1W;1U;1V;0N;1J;0I;2D;0I;0I;0H;65;2H;;;
