SourceRow;Filename;CastPredDash;Blok1Raw;Blok1Decoded;Prefix;WorkerID;Blok2Raw;Blok2Decoded;TailRaw;TailDecoded;TrailingChar;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;TailTrailingChar
454;1M0H0O121F170H0H0I0H0I4631383M3Z3R31323331320--0H0O121F171Y0I0H0I63200;1M0H0O121F170H0H0I0H0I4631383M3Z3R31323331320;1M0H0O121F170H0H0I0H0I;Y07ERJ00101;Y;07ERJ00101;4631383M3Z3R3132333132;µŚ“ˇ®¦ŚŤŽŚŤ;0H0O121F171Y0I0H0I63200;07ERJe101úg;0;1M;0H;0O;12;1F;17;0H;0H;0I;0H;0I;46;31;38;3M;3Z;3R;31;32;33;31;32;0H;0O;12;1F;17;1Y;0I;0H;0I;63;20;0
455;1M0I12180Y130H0H0I0H0I46323M3S3I3N31323331320--0I12180Y131Y0I0H0I63200;1M0I12180Y130H0H0I0H0I46323M3S3I3N31323331320;1M0I12180Y130H0H0I0H0I;Y1EKAF00101;Y;1EKAF00101;46323M3S3I3N3132333132;µŤˇ§ť˘ŚŤŽŚŤ;0I12180Y131Y0I0H0I63200;1EKAFe101úg;0;1M;0I;12;18;0Y;13;0H;0H;0I;0H;0I;46;32;3M;3S;3I;3N;31;32;33;31;32;0I;12;18;0Y;13;1Y;0I;0H;0I;63;20;0
456;1M0I170K1D170H0H0I0H0I46323R343X3R31323331320--0I170K1D171Y0I0H0I63200;1M0I170K1D170H0H0I0H0I46323R343X3R31323331320;1M0I170K1D170H0H0I0H0I;Y1J3PJ00101;Y;1J3PJ00101;46323R343X3R3132333132;µŤ¦Ź¬¦ŚŤŽŚŤ;0I170K1D171Y0I0H0I63200;1J3PJe101úg;0;1M;0I;17;0K;1D;17;0H;0H;0I;0H;0I;46;32;3R;34;3X;3R;31;32;33;31;32;0I;17;0K;1D;17;1Y;0I;0H;0I;63;20;0
457;1M0K121016110H0H0I0H0I46343M3K3Q3L31323331320--0K121016111Y0I0H0I63200;1M0K121016110H0H0I0H0I46343M3K3Q3L31323331320;1M0K121016110H0H0I0H0I;Y3ECID00101;Y;3ECID00101;46343M3K3Q3L3132333132;µŹˇźĄ ŚŤŽŚŤ;0K121016111Y0I0H0I63200;3ECIDe101úg;0;1M;0K;12;10;16;11;0H;0H;0I;0H;0I;46;34;3M;3K;3Q;3L;31;32;33;31;32;0K;12;10;16;11;1Y;0I;0H;0I;63;20;0
458;1M0Z120Q1I0K0H0H0I0H0I463J3M3A423431323331320--0Z120Q1I0K1Y0I0H0I63200;1M0Z120Q1I0K0H0H0I0H0I463J3M3A423431323331320;1M0Z120Q1I0K0H0H0I0H0I;YBE9U300101;Y;BE9U300101;463J3M3A42343132333132;µžˇ•±ŹŚŤŽŚŤ;0Z120Q1I0K1Y0I0H0I63200;BE9U3e101úg;0;1M;0Z;12;0Q;1I;0K;0H;0H;0I;0H;0I;46;3J;3M;3A;42;34;31;32;33;31;32;0Z;12;0Q;1I;0K;1Y;0I;0H;0I;63;20;0
459;1O0J0H1G18170H0H0I0H0I4A3533423U3T33343533340--0J0H1G1817200I0H0I63220;1O0J0H1G18170H0H0I0H0I4A3533423U3T33343533340;1O0J0H1G18170H0H0I0H0I;[20SKJ00101;[;20SKJ00101;4A3533423U3T3334353334;ąŽ±©¨ŽŹŽŹ;0J0H1G1817200I0H0I63220;20SKJg101úi;0;1O;0J;0H;1G;18;17;0H;0H;0I;0H;0I;4A;35;33;42;3U;3T;33;34;35;33;34;0J;0H;1G;18;17;20;0I;0H;0I;63;22;0
460;1P0H1C0I1E170H0H0I0H0I4C343Z35413U34353634350--0H1C0I1E17210I0I0H63230;1P0H1C0I1E170H0H0I0H0I4C343Z35413U34353634350;1P0H1C0I1E170H0H0I0H0I;\0O1QJ00101;\;0O1QJ00101;4C343Z35413U3435363435;»Ź®°©Ź‘Ź;0H1C0I1E17210I0I0H63230;0O1QJh110új;0;1P;0H;1C;0I;1E;17;0H;0H;0I;0H;0I;4C;34;3Z;35;41;3U;34;35;36;34;35;0H;1C;0I;1E;17;21;0I;0I;0H;63;23;0
461;1Q0J0H1H19170H0H0I0H0I4E3735453X3V35363735360--0J0H1H1917220I0H0I63240;1Q0J0H1H19170H0H0I0H0I4E3735453X3V35363735360;1Q0J0H1H19170H0H0I0H0I;]20TLJ00101;];20TLJ00101;4E3735453X3V3536373536;˝’´¬Ş‘’‘;0J0H1H1917220I0H0I63240;20TLJi101úk;0;1Q;0J;0H;1H;19;17;0H;0H;0I;0H;0I;4E;37;35;45;3X;3V;35;36;37;35;36;0J;0H;1H;19;17;22;0I;0H;0I;63;24;0
462;1Q0M131I140M0H0H0I0H0I4E3A3R463S3A35363735360--0M131I140M220I0H0I63240;1Q0M131I140M0H0H0I0H0I4E3A3R463S3A35363735360;1Q0M131I140M0H0H0I0H0I;]5FUG500101;];5FUG500101;4E3A3R463S3A3536373536;˝•¦µ§•‘’‘;0M131I140M220I0H0I63240;5FUG5i101úk;0;1Q;0M;13;1I;14;0M;0H;0H;0I;0H;0I;4E;3A;3R;46;3S;3A;35;36;37;35;36;0M;13;1I;14;0M;22;0I;0H;0I;63;24;0
463;1Q0Q120H1K140H0H0I0H0I4E3E3Q35483S35363735360--0Q120H1K14220I0H0I63240;1Q0Q120H1K140H0H0I0H0I4E3E3Q35483S35363735360;1Q0Q120H1K140H0H0I0H0I;]9E0WG00101;];9E0WG00101;4E3E3Q35483S3536373536;˝™Ą·§‘’‘;0Q120H1K14220I0H0I63240;9E0WGi101úk;0;1Q;0Q;12;0H;1K;14;0H;0H;0I;0H;0I;4E;3E;3Q;35;48;3S;35;36;37;35;36;0Q;12;0H;1K;14;22;0I;0H;0I;63;24;0
464;1R0I1C0I1F170H0H0I0H0I4G374137443W36373836370--0I1C0I1F17230I0I0H63250;1R0I1C0I1F170H0H0I0H0I4G374137443W36373836370;1R0I1C0I1F170H0H0I0H0I;^1O1RJ00101;^;1O1RJ00101;4G374137443W3637383637;ż’°’ł«‘’“‘’;0I1C0I1F17230I0I0H63250;1O1RJj110úl;0;1R;0I;1C;0I;1F;17;0H;0H;0I;0H;0I;4G;37;41;37;44;3W;36;37;38;36;37;0I;1C;0I;1F;17;23;0I;0I;0H;63;25;0
465;1R150M0K1G170H0H0I0H0I4G3U3B39453W36373836370--150M0K1G17230I0I0H63250;1R150M0K1G170H0H0I0H0I4G3U3B39453W36373836370;1R150M0K1G170H0H0I0H0I;^H53SJ00101;^;H53SJ00101;4G3U3B39453W3637383637;ż©–”´«‘’“‘’;150M0K1G17230I0I0H63250;H53SJj110úl;0;1R;15;0M;0K;1G;17;0H;0H;0I;0H;0I;4G;3U;3B;39;45;3W;36;37;38;36;37;15;0M;0K;1G;17;23;0I;0I;0H;63;25;0
466;1T0L121215160H0H0I0H0I4K3C3T3U3W3X38393A38390--0L12121516250I0I0H63270;1T0L121215160H0H0I0H0I4K3C3T3U3W3X38393A38390;1T0L121215160H0H0I0H0I;`4EEHI00101;`;4EEHI00101;4K3C3T3U3W3X38393A3839;Ă—¨©«¬“”•“”;0L12121516250I0I0H63270;4EEHIl110ún;0;1T;0L;12;12;15;16;0H;0H;0I;0H;0I;4K;3C;3T;3U;3W;3X;38;39;3A;38;39;0L;12;12;15;16;25;0I;0I;0H;63;27;0
467;1V0K100Y1D170H0H0I0H0I4O3D3T3R46403A3B3C3A3B0--0K100Y1D17270I0I0H63290;1V0K100Y1D170H0H0I0H0I4O3D3T3R46403A3B3C3A3B0;1V0K100Y1D170H0H0I0H0I;b3CAPJ00101;b;3CAPJ00101;4O3D3T3R46403A3B3C3A3B;Ç¨¦µŻ•–—•–;0K100Y1D17270I0I0H63290;3CAPJn110úp;0;1V;0K;10;0Y;1D;17;0H;0H;0I;0H;0I;4O;3D;3T;3R;46;40;3A;3B;3C;3A;3B;0K;10;0Y;1D;17;27;0I;0I;0H;63;29;0
468;1V0P0O141E170H0H0I0H0I4O3I3H3X47403A3B3C3A3B0--0P0O141E17270I0I0H63290;1V0P0O141E170H0H0I0H0I4O3I3H3X47403A3B3C3A3B0;1V0P0O141E170H0H0I0H0I;b87GQJ00101;b;87GQJ00101;4O3I3H3X47403A3B3C3A3B;Çťś¬¶Ż•–—•–;0P0O141E17270I0I0H63290;87GQJn110úp;0;1V;0P;0O;14;1E;17;0H;0H;0I;0H;0I;4O;3I;3H;3X;47;40;3A;3B;3C;3A;3B;0P;0O;14;1E;17;27;0I;0I;0H;63;29;0
469;1V0P100Q1G170H0H0I0H0I4O3I3T3J49403A3B3C3A3B0--0P100Q1G17270I0I0H63290;1V0P100Q1G170H0H0I0H0I4O3I3T3J49403A3B3C3A3B0;1V0P100Q1G170H0H0I0H0I;b8C9SJ00101;b;8C9SJ00101;4O3I3T3J49403A3B3C3A3B;Çť¨ž¸Ż•–—•–;0P100Q1G17270I0I0H63290;8C9SJn110úp;0;1V;0P;10;0Q;1G;17;0H;0H;0I;0H;0I;4O;3I;3T;3J;49;40;3A;3B;3C;3A;3B;0P;10;0Q;1G;17;27;0I;0I;0H;63;29;0
470;1W0I121C1L0M0H0H0I0H0I4Q3C3W464F3G3B3C3D3B3C0--0I121C1L0M280I0H0I632A0;1W0I121C1L0M0H0H0I0H0I4Q3C3W464F3G3B3C3D3B3C0;1W0I121C1L0M0H0H0I0H0I;c1EOX500101;c;1EOX500101;4Q3C3W464F3G3B3C3D3B3C;É—«µľ›–—–—;0I121C1L0M280I0H0I632A0;1EOX5o101úq;0;1W;0I;12;1C;1L;0M;0H;0H;0I;0H;0I;4Q;3C;3W;46;4F;3G;3B;3C;3D;3B;3C;0I;12;1C;1L;0M;28;0I;0H;0I;63;2A;0
471;1W0J0K1L18170H0H0I0H0I4Q3D3E4F42413B3C3D3B3C0--0J0K1L1817280I0H0I632A0;1W0J0K1L18170H0H0I0H0I4Q3D3E4F42413B3C3D3B3C0;1W0J0K1L18170H0H0I0H0I;c23XKJ00101;c;23XKJ00101;4Q3D3E4F42413B3C3D3B3C;É™ľ±°–—–—;0J0K1L1817280I0H0I632A0;23XKJo101úq;0;1W;0J;0K;1L;18;17;0H;0H;0I;0H;0I;4Q;3D;3E;4F;42;41;3B;3C;3D;3B;3C;0J;0K;1L;18;17;28;0I;0H;0I;63;2A;0
472;1W0P110Q1G170H0H0I0H0I4Q3J3V3K4A413B3C3D3B3C0--0P110Q1G17280I0H0I632A0;1W0P110Q1G170H0H0I0H0I4Q3J3V3K4A413B3C3D3B3C0;1W0P110Q1G170H0H0I0H0I;c8D9SJ00101;c;8D9SJ00101;4Q3J3V3K4A413B3C3D3B3C;ÉžŞźą°–—–—;0P110Q1G17280I0H0I632A0;8D9SJo101úq;0;1W;0P;11;0Q;1G;17;0H;0H;0I;0H;0I;4Q;3J;3V;3K;4A;41;3B;3C;3D;3B;3C;0P;11;0Q;1G;17;28;0I;0H;0I;63;2A;0
473;1W0Q0O141E170H0H0I0H0I4Q3K3I3Y48413B3C3D3B3C0--0Q0O141E17280I0H0I632A0;1W0Q0O141E170H0H0I0H0I4Q3K3I3Y48413B3C3D3B3C0;1W0Q0O141E170H0H0I0H0I;c97GQJ00101;c;97GQJ00101;4Q3K3I3Y48413B3C3D3B3C;Éźť­·°–—–—;0Q0O141E17280I0H0I632A0;97GQJo101úq;0;1W;0Q;0O;14;1E;17;0H;0H;0I;0H;0I;4Q;3K;3I;3Y;48;41;3B;3C;3D;3B;3C;0Q;0O;14;1E;17;28;0I;0H;0I;63;2A;0
474;1W110Z0M1A170H0H0I0H0I4Q3V3T3G44413B3C3D3B3C0--110Z0M1A17280I0H0I632A0;1W110Z0M1A170H0H0I0H0I4Q3V3T3G44413B3C3D3B3C0;1W110Z0M1A170H0H0I0H0I;cDB5MJ00101;c;DB5MJ00101;4Q3V3T3G44413B3C3D3B3C;ÉŞ¨›ł°–—–—;110Z0M1A17280I0H0I632A0;DB5MJo101úq;0;1W;11;0Z;0M;1A;17;0H;0H;0I;0H;0I;4Q;3V;3T;3G;44;41;3B;3C;3D;3B;3C;11;0Z;0M;1A;17;28;0I;0H;0I;63;2A;0
475;1Y0K121C1L0M0H0H0I0H0I4U3G3Y484H3I3D3E3F3D3E0--0K121C1L0M2A0I0H0I632C0;1Y0K121C1L0M0H0H0I0H0I4U3G3Y484H3I3D3E3F3D3E0;1Y0K121C1L0M0H0H0I0H0I;e3EOX500101;e;3EOX500101;4U3G3Y484H3I3D3E3F3D3E;Í›­·Ŕť™š™;0K121C1L0M2A0I0H0I632C0;3EOX5q101ús;0;1Y;0K;12;1C;1L;0M;0H;0H;0I;0H;0I;4U;3G;3Y;48;4H;3I;3D;3E;3F;3D;3E;0K;12;1C;1L;0M;2A;0I;0H;0I;63;2C;0
476;1Y0Y120H1K140H0H0I0H0I4U3U3Y3D4G403D3E3F3D3E0--0Y120H1K142A0I0H0I632C0;1Y0Y120H1K140H0H0I0H0I4U3U3Y3D4G403D3E3F3D3E0;1Y0Y120H1K140H0H0I0H0I;eAE0WG00101;e;AE0WG00101;4U3U3Y3D4G403D3E3F3D3E;Í©­żŻ™š™;0Y120H1K142A0I0H0I632C0;AE0WGq101ús;0;1Y;0Y;12;0H;1K;14;0H;0H;0I;0H;0I;4U;3U;3Y;3D;4G;40;3D;3E;3F;3D;3E;0Y;12;0H;1K;14;2A;0I;0H;0I;63;2C;0
477;1Z0K121D1L0M0H0H0I0H0I4W3H3Z4A4I3J3E3F3G3E3F0--0K121D1L0M2B0I0I0H632D0;1Z0K121D1L0M0H0H0I0H0I4W3H3Z4A4I3J3E3F3G3E3F0;1Z0K121D1L0M0H0H0I0H0I;f3EPX500101;f;3EPX500101;4W3H3Z4A4I3J3E3F3G3E3F;Ďś®ąÁž™š›™š;0K121D1L0M2B0I0I0H632D0;3EPX5r110út;0;1Z;0K;12;1D;1L;0M;0H;0H;0I;0H;0I;4W;3H;3Z;4A;4I;3J;3E;3F;3G;3E;3F;0K;12;1D;1L;0M;2B;0I;0I;0H;63;2D;0
478;200L0L1E1G170H0H0I0H0I4Y3J3K4C4E453F3G3H3F3G0--0L0L1E1G172C0I0H0I632E0;200L0L1E1G170H0H0I0H0I4Y3J3K4C4E453F3G3H3F3G0;200L0L1E1G170H0H0I0H0I;g44QSJ00101;g;44QSJ00101;4Y3J3K4C4E453F3G3H3F3G;Ńžź»˝´š›śš›;0L0L1E1G172C0I0H0I632E0;44QSJs101úu;0;20;0L;0L;1E;1G;17;0H;0H;0I;0H;0I;4Y;3J;3K;4C;4E;45;3F;3G;3H;3F;3G;0L;0L;1E;1G;17;2C;0I;0H;0I;63;2E;0
479;200M12121E130H0H0I0H0I4Y3K40414C413F3G3H3F3G0--0M12121E132C0I0H0I632E0;200M12121E130H0H0I0H0I4Y3K40414C413F3G3H3F3G0;200M12121E130H0H0I0H0I;g5EEQF00101;g;5EEQF00101;4Y3K40414C413F3G3H3F3G;ŃźŻ°»°š›śš›;0M12121E132C0I0H0I632E0;5EEQFs101úu;0;20;0M;12;12;1E;13;0H;0H;0I;0H;0I;4Y;3K;40;41;4C;41;3F;3G;3H;3F;3G;0M;12;12;1E;13;2C;0I;0H;0I;63;2E;0
480;2011110K1E170H0H0I0H0I4Y3Z403I4C453F3G3H3F3G0--11110K1E172C0I0H0I632E0;2011110K1E170H0H0I0H0I4Y3Z403I4C453F3G3H3F3G0;2011110K1E170H0H0I0H0I;gDD3QJ00101;g;DD3QJ00101;4Y3Z403I4C453F3G3H3F3G;Ń®Żť»´š›śš›;11110K1E172C0I0H0I632E0;DD3QJs101úu;0;20;11;11;0K;1E;17;0H;0H;0I;0H;0I;4Y;3Z;40;3I;4C;45;3F;3G;3H;3F;3G;11;11;0K;1E;17;2C;0I;0H;0I;63;2E;0
482;210M121D1L0M0H0H0I0H0I503L414C4K3L3G3H3I3G3H0--0M121D1L0M2D0I0I0H632F0;210M121D1L0M0H0H0I0H0I503L414C4K3L3G3H3I3G3H0;210M121D1L0M0H0H0I0H0I;h5EPX500101;h;5EPX500101;503L414C4K3L3G3H3I3G3H;Ó °»Ă ›śť›ś;0M121D1L0M2D0I0I0H632F0;5EPX5t110úv;0;21;0M;12;1D;1L;0M;0H;0H;0I;0H;0I;50;3L;41;4C;4K;3L;3G;3H;3I;3G;3H;0M;12;1D;1L;0M;2D;0I;0I;0H;63;2F;0
483;210Q0M181H170H0H0I0H0I503P3L474G463G3H3I3G3H0--0Q0M181H172D0I0I0H632F0;210Q0M181H170H0H0I0H0I503P3L474G463G3H3I3G3H0;210Q0M181H170H0H0I0H0I;h95KTJ00101;h;95KTJ00101;503P3L474G463G3H3I3G3H;Ó¤ ¶żµ›śť›ś;0Q0M181H172D0I0I0H632F0;95KTJt110úv;0;21;0Q;0M;18;1H;17;0H;0H;0I;0H;0I;50;3P;3L;47;4G;46;3G;3H;3I;3G;3H;0Q;0M;18;1H;17;2D;0I;0I;0H;63;2F;0
484;2110120P1H100H0H0I0H0I503Z413O4G3Z3G3H3I3G3H0--10120P1H102D0I0I0H632F0;2110120P1H100H0H0I0H0I503Z413O4G3Z3G3H3I3G3H0;2110120P1H100H0H0I0H0I;hCE8TC00101;h;CE8TC00101;503Z413O4G3Z3G3H3I3G3H;Ó®°Łż®›śť›ś;10120P1H102D0I0I0H632F0;CE8TCt110úv;0;21;10;12;0P;1H;10;0H;0H;0I;0H;0I;50;3Z;41;3O;4G;3Z;3G;3H;3I;3G;3H;10;12;0P;1H;10;2D;0I;0I;0H;63;2F;0
485;220N121D1L0M0H0H0I0H0I523N424D4L3M3H3I3J3H3I0--0N121D1L0M2E0I0H0I632G0;220N121D1L0M0H0H0I0H0I523N424D4L3M3H3I3J3H3I0;220N121D1L0M0H0H0I0H0I;i6EPX500101;i;6EPX500101;523N424D4L3M3H3I3J3H3I;Ő˘±ĽÄˇśťžśť;0N121D1L0M2E0I0H0I632G0;6EPX5u101úw;0;22;0N;12;1D;1L;0M;0H;0H;0I;0H;0I;52;3N;42;4D;4L;3M;3H;3I;3J;3H;3I;0N;12;1D;1L;0M;2E;0I;0H;0I;63;2G;0
486;221G0M0K1G170H0H0I0H0I524G3M3K4G473H3I3J3H3I0--1G0M0K1G172E0I0H0I632G0;221G0M0K1G170H0H0I0H0I524G3M3K4G473H3I3J3H3I0;221G0M0K1G170H0H0I0H0I;iS53SJ00101;i;S53SJ00101;524G3M3K4G473H3I3J3H3I;Őżˇźż¶śťžśť;1G0M0K1G172E0I0H0I632G0;S53SJu101úw;0;22;1G;0M;0K;1G;17;0H;0H;0I;0H;0I;52;4G;3M;3K;4G;47;3H;3I;3J;3H;3I;1G;0M;0K;1G;17;2E;0I;0H;0I;63;2G;0
487;230J121N1E0O0H0H0I0H0I543K434O4F3P3I3J3K3I3J0--0J121N1E0O2F0I0I0H632H0;230J121N1E0O0H0H0I0H0I543K434O4F3P3I3J3K3I3J0;230J121N1E0O0H0H0I0H0I;j2EZQ700101;j;2EZQ700101;543K434O4F3P3I3J3K3I3J;×ź˛Çľ¤ťžźťž;0J121N1E0O2F0I0I0H632H0;2EZQ7v110úx;0;23;0J;12;1N;1E;0O;0H;0H;0I;0H;0I;54;3K;43;4O;4F;3P;3I;3J;3K;3I;3J;0J;12;1N;1E;0O;2F;0I;0I;0H;63;2H;0
488;230O121D1L0M0H0H0I0H0I543P434E4M3N3I3J3K3I3J0--0O121D1L0M2F0I0I0H632H0;230O121D1L0M0H0H0I0H0I543P434E4M3N3I3J3K3I3J0;230O121D1L0M0H0H0I0H0I;j7EPX500101;j;7EPX500101;543P434E4M3N3I3J3K3I3J;×¤˛˝Ĺ˘ťžźťž;0O121D1L0M2F0I0I0H632H0;7EPX5v110úx;0;23;0O;12;1D;1L;0M;0H;0H;0I;0H;0I;54;3P;43;4E;4M;3N;3I;3J;3K;3I;3J;0O;12;1D;1L;0M;2F;0I;0I;0H;63;2H;0
489;240I1D0Y1B170H0H0I0H0I563K4F404D493J3K3L3J3K0--0I1D0Y1B172G0I0H0I632I0;240I1D0Y1B170H0H0I0H0I563K4F404D493J3K3L3J3K0;240I1D0Y1B170H0H0I0H0I;k1PANJ00101;k;1PANJ00101;563K4F404D493J3K3L3J3K;ŮźľŻĽ¸žź žź;0I1D0Y1B172G0I0H0I632I0;1PANJw101úy;0;24;0I;1D;0Y;1B;17;0H;0H;0I;0H;0I;56;3K;4F;40;4D;49;3J;3K;3L;3J;3K;0I;1D;0Y;1B;17;2G;0I;0H;0I;63;2I;0
490;240Y0O141E170H0H0I0H0I56403Q464G493J3K3L3J3K0--0Y0O141E172G0I0H0I632I0;240Y0O141E170H0H0I0H0I56403Q464G493J3K3L3J3K0;240Y0O141E170H0H0I0H0I;kA7GQJ00101;k;A7GQJ00101;56403Q464G493J3K3L3J3K;ŮŻĄµż¸žź žź;0Y0O141E172G0I0H0I632I0;A7GQJw101úy;0;24;0Y;0O;14;1E;17;0H;0H;0I;0H;0I;56;40;3Q;46;4G;49;3J;3K;3L;3J;3K;0Y;0O;14;1E;17;2G;0I;0H;0I;63;2I;0
491;250H191718170H0H0I0H0I583K4C4A4B4A3K3L3M3K3L0--0H191718172H0I0I0H632J0;250H191718170H0H0I0H0I583K4C4A4B4A3K3L3M3K3L0;250H191718170H0H0I0H0I;l0LJKJ00101;l;0LJKJ00101;583K4C4A4B4A3K3L3M3K3L;Űź»ąşąź ˇź ;0H191718172H0I0I0H632J0;0LJKJx110úz;0;25;0H;19;17;18;17;0H;0H;0I;0H;0I;58;3K;4C;4A;4B;4A;3K;3L;3M;3K;3L;0H;19;17;18;17;2H;0I;0I;0H;63;2J;0
492;250Q121D1L0M0H0H0I0H0I583T454G4O3P3K3L3M3K3L0--0Q121D1L0M2H0I0I0H632J0;250Q121D1L0M0H0H0I0H0I583T454G4O3P3K3L3M3K3L0;250Q121D1L0M0H0H0I0H0I;l9EPX500101;l;9EPX500101;583T454G4O3P3K3L3M3K3L;Ű¨´żÇ¤ź ˇź ;0Q121D1L0M2H0I0I0H632J0;9EPX5x110úz;0;25;0Q;12;1D;1L;0M;0H;0H;0I;0H;0I;58;3T;45;4G;4O;3P;3K;3L;3M;3K;3L;0Q;12;1D;1L;0M;2H;0I;0I;0H;63;2J;0
493;250Y0H1H19170H0H0I0H0I58413K4K4C4A3K3L3M3K3L0--0Y0H1H19172H0I0I0H632J0;250Y0H1H19170H0H0I0H0I58413K4K4C4A3K3L3M3K3L0;250Y0H1H19170H0H0I0H0I;lA0TLJ00101;l;A0TLJ00101;58413K4K4C4A3K3L3M3K3L;Ű°źĂ»ąź ˇź ;0Y0H1H19172H0I0I0H632J0;A0TLJx110úz;0;25;0Y;0H;1H;19;17;0H;0H;0I;0H;0I;58;41;3K;4K;4C;4A;3K;3L;3M;3K;3L;0Y;0H;1H;19;17;2H;0I;0I;0H;63;2J;0
494;250Z0O141E170H0H0I0H0I58423R474H4A3K3L3M3K3L0--0Z0O141E172H0I0I0H632J0;250Z0O141E170H0H0I0H0I58423R474H4A3K3L3M3K3L0;250Z0O141E170H0H0I0H0I;lB7GQJ00101;l;B7GQJ00101;58423R474H4A3K3L3M3K3L;Ű±¦¶Ŕąź ˇź ;0Z0O141E172H0I0I0H632J0;B7GQJx110úz;0;25;0Z;0O;14;1E;17;0H;0H;0I;0H;0I;58;42;3R;47;4H;4A;3K;3L;3M;3K;3L;0Z;0O;14;1E;17;2H;0I;0I;0H;63;2J;0
495;260M121N1J0J0H0H0I0H0I5A3Q464R4N3N3L3M3N3L3M0--0M121N1J0J2I0I0H0I632K0;260M121N1J0J0H0H0I0H0I5A3Q464R4N3N3L3M3N3L3M0;260M121N1J0J0H0H0I0H0I;m5EZV200101;m;5EZV200101;5A3Q464R4N3N3L3M3N3L3M;ÝĄµĘĆ˘ ˇ˘ ˇ;0M121N1J0J2I0I0H0I632K0;5EZV2y101ú{;0;26;0M;12;1N;1J;0J;0H;0H;0I;0H;0I;5A;3Q;46;4R;4N;3N;3L;3M;3N;3L;3M;0M;12;1N;1J;0J;2I;0I;0H;0I;63;2K;0
496;261F0L0N1J170H0H0I0H0I5A4J3P3R4N4B3L3M3N3L3M0--1F0L0N1J172I0I0H0I632K0;261F0L0N1J170H0H0I0H0I5A4J3P3R4N4B3L3M3N3L3M0;261F0L0N1J170H0H0I0H0I;mR46VJ00101;m;R46VJ00101;5A4J3P3R4N4B3L3M3N3L3M;ÝÂ¤¦Ćş ˇ˘ ˇ;1F0L0N1J172I0I0H0I632K0;R46VJy101ú{;0;26;1F;0L;0N;1J;17;0H;0H;0I;0H;0I;5A;4J;3P;3R;4N;4B;3L;3M;3N;3L;3M;1F;0L;0N;1J;17;2I;0I;0H;0I;63;2K;0
497;270L0Z1E19170H0H0I0H0I5C3Q444J4E4C3M3N3O3M3N0--0L0Z1E19172J0I0I0H632L0;270L0Z1E19170H0H0I0H0I5C3Q444J4E4C3M3N3O3M3N0;270L0Z1E19170H0H0I0H0I;n4BQLJ00101;n;4BQLJ00101;5C3Q444J4E4C3M3N3O3M3N;ßĄłÂ˝»ˇ˘Łˇ˘;0L0Z1E19172J0I0I0H632L0;4BQLJz110ú|;0;27;0L;0Z;1E;19;17;0H;0H;0I;0H;0I;5C;3Q;44;4J;4E;4C;3M;3N;3O;3M;3N;0L;0Z;1E;19;17;2J;0I;0I;0H;63;2L;0
498;270O190Z1B170H0H0I0H0I5C3T4E444G4C3M3N3O3M3N0--0O190Z1B172J0I0I0H632L0;270O190Z1B170H0H0I0H0I5C3T4E444G4C3M3N3O3M3N0;270O190Z1B170H0H0I0H0I;n7LBNJ00101;n;7LBNJ00101;5C3T4E444G4C3M3N3O3M3N;ß¨˝łż»ˇ˘Łˇ˘;0O190Z1B172J0I0I0H632L0;7LBNJz110ú|;0;27;0O;19;0Z;1B;17;0H;0H;0I;0H;0I;5C;3T;4E;44;4G;4C;3M;3N;3O;3M;3N;0O;19;0Z;1B;17;2J;0I;0I;0H;63;2L;0
499;270O1J0L1F170H0H0I0H0I5C3T4O3Q4K4C3M3N3O3M3N0--0O1J0L1F172J0I0I0H632L0;270O1J0L1F170H0H0I0H0I5C3T4O3Q4K4C3M3N3O3M3N0;270O1J0L1F170H0H0I0H0I;n7V4RJ00101;n;7V4RJ00101;5C3T4O3Q4K4C3M3N3O3M3N;ß¨ÇĄĂ»ˇ˘Łˇ˘;0O1J0L1F172J0I0I0H632L0;7V4RJz110ú|;0;27;0O;1J;0L;1F;17;0H;0H;0I;0H;0I;5C;3T;4O;3Q;4K;4C;3M;3N;3O;3M;3N;0O;1J;0L;1F;17;2J;0I;0I;0H;63;2L;0
500;2710110Q1G170H0H0I0H0I5C45463V4L4C3M3N3O3M3N0--10110Q1G172J0I0I0H632L0;2710110Q1G170H0H0I0H0I5C45463V4L4C3M3N3O3M3N0;2710110Q1G170H0H0I0H0I;nCD9SJ00101;n;CD9SJ00101;5C45463V4L4C3M3N3O3M3N;ß´µŞÄ»ˇ˘Łˇ˘;10110Q1G172J0I0I0H632L0;CD9SJz110ú|;0;27;10;11;0Q;1G;17;0H;0H;0I;0H;0I;5C;45;46;3V;4L;4C;3M;3N;3O;3M;3N;10;11;0Q;1G;17;2J;0I;0I;0H;63;2L;0
