SourceRow;WorkerID;Prefix_ASC;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A01_B36;A02_B36;A03_B36;A04_B36;A05_B36;A06_B36;A07_B36;A08_B36;A09_B36;A10_B36;A11_B36;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C01_B36;C02_B36;C03_B36;C04_B36;C05_B36;C06_B36;C07_B36;C08_B36;C09_B36;C10_B36;C11_B36;D01;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;K01_ASC;K02_ASC;K03_ASC;K04_ASC;K05_ASC;K06_ASC;K07_ASC;K08_ASC;K09_ASC;K10_ASC;K11_ASC;PREV01_ASC;PREV02_ASC;PREV03_ASC;PREV04_ASC;PREV05_ASC;PREV06_ASC;PREV07_ASC;PREV08_ASC;PREV09_ASC;PREV10_ASC;PREV11_ASC;CUM01;CUM02;CUM03;CUM04;CUM05;CUM06;CUM07;CUM08;CUM09;CUM10;CUM11
32;M300000101;33;M;3;0;0;0;0;0;1;0;1;22;3;0;0;0;0;0;1;0;1;77;51;48;48;48;48;48;49;48;49;12;2A;1K;1H;1I;1H;1I;1H;1I;1H;1I;38;82;56;53;54;53;54;53;54;53;54;12;2A;1K;1H;1H;1H;1H;1H;1I;1H;1I;38;82;56;53;53;53;53;53;54;53;54;0;0;0;0;1;0;1;0;0;0;0;33;77;51;48;48;48;48;48;49;48;49;;33;77;51;48;48;48;48;48;49;48;33;110;161;209;257;305;353;401;450;498;547
33;N200000101;33;N;2;0;0;0;0;0;1;0;1;23;2;0;0;0;0;0;1;0;1;78;50;48;48;48;48;48;49;48;49;12;2B;1J;1H;1I;1H;1I;1H;1I;1H;1I;38;83;55;53;54;53;54;53;54;53;54;12;2B;1J;1H;1H;1H;1H;1H;1I;1H;1I;38;83;55;53;53;53;53;53;54;53;54;0;0;0;0;1;0;1;0;0;0;0;33;78;50;48;48;48;48;48;49;48;49;;33;78;50;48;48;48;48;48;49;48;33;111;161;209;257;305;353;401;450;498;547
34;1G90000101;34;1;G;9;0;0;0;0;1;0;1;1;16;9;0;0;0;0;1;0;1;49;71;57;48;48;48;48;49;48;49;14;1J;25;1R;1I;1J;1I;1J;1K;1I;1J;40;55;77;63;54;55;54;55;56;54;55;14;1J;25;1R;1I;1I;1I;1I;1J;1I;1J;40;55;77;63;54;54;54;54;55;54;55;0;0;0;0;0;1;0;1;1;0;0;34;49;71;57;48;48;48;48;49;48;49;;34;49;71;57;48;48;48;48;49;48;34;83;154;211;259;307;355;403;452;500;549
35;1I70000101;34;1;I;7;0;0;0;0;1;0;1;1;18;7;0;0;0;0;1;0;1;49;73;55;48;48;48;48;49;48;49;14;1J;27;1P;1I;1J;1I;1J;1K;1I;1J;40;55;79;61;54;55;54;55;56;54;55;14;1J;27;1P;1I;1I;1I;1I;1J;1I;1J;40;55;79;61;54;54;54;54;55;54;55;0;0;0;0;0;1;0;1;1;0;0;34;49;73;55;48;48;48;48;49;48;49;;34;49;73;55;48;48;48;48;49;48;34;83;156;211;259;307;355;403;452;500;549
36;2L30000101;34;2;L;3;0;0;0;0;1;0;1;2;21;3;0;0;0;0;1;0;1;50;76;51;48;48;48;48;49;48;49;14;1K;2A;1L;1I;1J;1I;1J;1K;1I;1J;40;56;82;57;54;55;54;55;56;54;55;14;1K;2A;1L;1I;1I;1I;1I;1J;1I;1J;40;56;82;57;54;54;54;54;55;54;55;0;0;0;0;0;1;0;1;1;0;0;34;50;76;51;48;48;48;48;49;48;49;;34;50;76;51;48;48;48;48;49;48;34;84;160;211;259;307;355;403;452;500;549
37;CHSMJ00101;34;C;H;S;M;J;0;0;1;0;1;12;17;28;22;19;0;0;1;0;1;67;72;83;77;74;48;48;49;48;49;14;21;26;2H;2B;28;1I;1J;1K;1I;1J;40;73;78;89;83;80;54;55;56;54;55;14;21;26;2H;2B;28;1I;1I;1J;1I;1J;40;73;78;89;83;80;54;54;55;54;55;0;0;0;0;0;0;0;1;1;0;0;34;67;72;83;77;74;48;48;49;48;49;;34;67;72;83;77;74;48;48;49;48;34;101;173;256;333;407;455;503;552;600;649
38;J700000101;34;J;7;0;0;0;0;0;1;0;1;19;7;0;0;0;0;0;1;0;1;74;55;48;48;48;48;48;49;48;49;14;28;1P;1I;1J;1I;1J;1I;1J;1I;1J;40;80;61;54;55;54;55;54;55;54;55;14;28;1P;1I;1I;1I;1I;1I;1J;1I;1J;40;80;61;54;54;54;54;54;55;54;55;0;0;0;0;1;0;1;0;0;0;0;34;74;55;48;48;48;48;48;49;48;49;;34;74;55;48;48;48;48;48;49;48;34;108;163;211;259;307;355;403;452;500;549
39;O5QVJ00101;34;O;5;Q;V;J;0;0;1;0;1;24;5;26;31;19;0;0;1;0;1;79;53;81;86;74;48;48;49;48;49;14;2D;1N;2F;2K;28;1I;1J;1K;1I;1J;40;85;59;87;92;80;54;55;56;54;55;14;2D;1N;2F;2K;28;1I;1I;1J;1I;1J;40;85;59;87;92;80;54;54;55;54;55;0;0;0;0;0;0;0;1;1;0;0;34;79;53;81;86;74;48;48;49;48;49;;34;79;53;81;86;74;48;48;49;48;34;113;166;247;333;407;455;503;552;600;649
40;1I80000101;35;1;I;8;0;0;0;0;1;0;1;1;18;8;0;0;0;0;1;0;1;49;73;56;48;48;48;48;49;48;49;16;1K;28;1R;1J;1K;1J;1K;1L;1J;1K;42;56;80;63;55;56;55;56;57;55;56;16;1K;28;1R;1J;1J;1J;1J;1K;1J;1K;42;56;80;63;55;55;55;55;56;55;56;0;0;0;0;0;1;0;1;1;0;0;35;49;73;56;48;48;48;48;49;48;49;;35;49;73;56;48;48;48;48;49;48;35;84;157;213;261;309;357;405;454;502;551
41;1J70000101;35;1;J;7;0;0;0;0;1;0;1;1;19;7;0;0;0;0;1;0;1;49;74;55;48;48;48;48;49;48;49;16;1K;29;1Q;1J;1K;1J;1K;1L;1J;1K;42;56;81;62;55;56;55;56;57;55;56;16;1K;29;1Q;1J;1J;1J;1J;1K;1J;1K;42;56;81;62;55;55;55;55;56;55;56;0;0;0;0;0;1;0;1;1;0;0;35;49;74;55;48;48;48;48;49;48;49;;35;49;74;55;48;48;48;48;49;48;35;84;158;213;261;309;357;405;454;502;551
