SourceRow;WorkerID;PrefixActual_ASC;PrefixCalc_ASC;PrefixActual_RAW;PrefixCalc_RAW;Prefix_OK;Block1Actual;Block1Calc;Block1_OK;Block1_FirstDiff;Block2Actual;Block2Calc;Block2_OK;Block2_FirstDiff;ALL_OK;Status
55;GUDMJ00101;36;36;05;05;PRAVDA;05141I111A170H0H0I0H0I;05141I111A170H0H0I0H0I;PRAVDA;;18272L242D2A1K1L1M1K1L;18272L242D2A1K1K1L1K1L;NEPRAVDA;P19;NEPRAVDA;BLOCK2
56;IFMQJ00101;36;36;05;05;PRAVDA;0516131A1E170H0H0I0H0I;0516131A1E170H0H0I0H0I;PRAVDA;;1829262D2H2A1K1L1M1K1L;1829262D2H2A1K1K1L1K1L;NEPRAVDA;P19;NEPRAVDA;BLOCK2
57;J900000101;36;36;05;05;PRAVDA;05170Q0H0H0H0H0H0I0H0I;05170Q0H0H0H0H0H0I0H0I;PRAVDA;;182A1T1K1L1K1L1K1L1K1L;182A1T1K1K1K1K1K1L1K1L;NEPRAVDA;P16;NEPRAVDA;BLOCK2
58;K800000101;36;36;05;05;PRAVDA;05180P0H0H0H0H0H0I0H0I;05180P0H0H0H0H0H0I0H0I;PRAVDA;;182B1S1K1L1K1L1K1L1K1L;182B1S1K1K1K1K1K1L1K1L;NEPRAVDA;P16;NEPRAVDA;BLOCK2
59;KGLOJ00101;36;36;05;05;PRAVDA;051814191C170H0H0I0H0I;051814191C170H0H0I0H0I;PRAVDA;;182B272C2F2A1K1L1M1K1L;182B272C2F2A1K1K1L1K1L;NEPRAVDA;P19;NEPRAVDA;BLOCK2
60;L610000101;36;36;05;05;PRAVDA;05190N0I0H0H0H0H0I0H0I;05190N0I0H0H0H0H0I0H0I;PRAVDA;;182C1Q1L1K1L1K1L1M1K1L;182C1Q1L1K1K1K1K1L1K1L;NEPRAVDA;P17;NEPRAVDA;BLOCK2
61;L700000101;36;36;05;05;PRAVDA;05190O0H0H0H0H0H0I0H0I;05190O0H0H0H0H0H0I0H0I;PRAVDA;;182C1R1K1L1K1L1K1L1K1L;182C1R1K1K1K1K1K1L1K1L;NEPRAVDA;P16;NEPRAVDA;BLOCK2
62;SI8YJ00101;36;36;05;05;PRAVDA;051G160P1M170H0H0I0H0I;051G160P1M170H0H0I0H0I;PRAVDA;;182J291S2P2A1K1L1M1K1L;182J291S2P2A1K1K1L1K1L;NEPRAVDA;P19;NEPRAVDA;BLOCK2
63;1AB0000101;37;37;06;06;PRAVDA;060I0Y0Z0H0H0H0H0I0H0I;060I0Y0Z0H0H0H0H0I0H0I;PRAVDA;;1A1M22231L1M1L1M1N1L1M;1A1M22231L1L1L1L1M1L1M;NEPRAVDA;P17;NEPRAVDA;BLOCK2
64;1BA0000101;37;37;06;06;PRAVDA;060I0Z0Y0H0H0H0H0I0H0I;060I0Z0Y0H0H0H0H0I0H0I;PRAVDA;;1A1M23221L1M1L1M1N1L1M;1A1M23221L1L1L1L1M1L1M;NEPRAVDA;P17;NEPRAVDA;BLOCK2
65;1J90000101;37;37;06;06;PRAVDA;060I170Q0H0H0H0H0I0H0I;060I170Q0H0H0H0H0I0H0I;PRAVDA;;1A1M2B1U1L1M1L1M1N1L1M;1A1M2B1U1L1L1L1L1M1L1M;NEPRAVDA;P17;NEPRAVDA;BLOCK2
66;1K80000101;37;37;06;06;PRAVDA;060I180P0H0H0H0H0I0H0I;060I180P0H0H0H0H0I0H0I;PRAVDA;;1A1M2C1T1L1M1L1M1N1L1M;1A1M2C1T1L1L1L1L1M1L1M;NEPRAVDA;P17;NEPRAVDA;BLOCK2
67;1O40000101;37;37;06;06;PRAVDA;060I1C0L0H0H0H0H0I0H0I;060I1C0L0H0H0H0H0I0H0I;PRAVDA;;1A1M2G1P1L1M1L1M1N1L1M;1A1M2G1P1L1L1L1L1M1L1M;NEPRAVDA;P17;NEPRAVDA;BLOCK2
68;2I90000101;37;37;06;06;PRAVDA;060J160Q0H0H0H0H0I0H0I;060J160Q0H0H0H0H0I0H0I;PRAVDA;;1A1N2A1U1L1M1L1M1N1L1M;1A1N2A1U1L1L1L1L1M1L1M;NEPRAVDA;P17;NEPRAVDA;BLOCK2
69;2J80000101;37;37;06;06;PRAVDA;060J170P0H0H0H0H0I0H0I;060J170P0H0H0H0H0I0H0I;PRAVDA;;1A1N2B1T1L1M1L1M1N1L1M;1A1N2B1T1L1L1L1L1M1L1M;NEPRAVDA;P17;NEPRAVDA;BLOCK2
70;3L50000101;37;37;06;06;PRAVDA;060K190M0H0H0H0H0I0H0I;060K190M0H0H0H0H0I0H0I;PRAVDA;;1A1O2D1Q1L1M1L1M1N1L1M;1A1O2D1Q1L1L1L1L1M1L1M;NEPRAVDA;P17;NEPRAVDA;BLOCK2
71;L800000101;37;37;06;06;PRAVDA;06190P0H0H0H0H0H0I0H0I;06190P0H0H0H0H0H0I0H0I;PRAVDA;;1A2D1T1L1M1L1M1L1M1L1M;1A2D1T1L1L1L1L1L1M1L1M;NEPRAVDA;P16;NEPRAVDA;BLOCK2
