SourceRow;WorkerID;RawPrefix;PrefixASCII;n;X;Parity;Const;Y;Trailing;Mode;ActualTail;CalcTail;Result;FirstDiffPos;ActualAtDiff;CalcAtDiff;ActualLen;CalcLen;;SOUHRN V2;;;
89;W7SNJ00101;138;38;5;19;0I0I0H;219;21;0;NORMAL;1K0O1G1B170J0I0I0H630L0;1K0O1G1B170J0I0I0H630L0;OK;;;;23;23;;;;;
90;Z6KTJ00101;138;38;5;19;0I0I0H;219;21;0;NORMAL;1N0N181H170J0I0I0H630L0;1N0N181H170J0I0I0H630L0;OK;;;;23;23;;;;;
91;1AD0000101;39;39;3;78;0I0H0I;221;82;;NORMAL;0I0Y11260I0H0I652A;0I0Y11260I0H0I652A;OK;;;;18;18;;;;;
92;1BC0000101;39;39;3;78;0I0H0I;221;82;;NORMAL;0I0Z10260I0H0I652A;0I0Z10260I0H0I652A;OK;;;;18;18;;;;;
93;1CB0000101;39;39;3;78;0I0H0I;221;82;;NORMAL;0I100Z260I0H0I652A;0I100Z260I0H0I652A;OK;;;;18;18;;;;;
94;1DA0000101;39;39;3;78;0I0H0I;221;82;;NORMAL;0I110Y260I0H0I652A;0I110Y260I0H0I652A;OK;;;;18;18;;;;;
95;1L90000101;39;39;3;78;0I0H0I;221;82;;NORMAL;0I190Q260I0H0I652A;0I190Q260I0H0I652A;OK;;;;18;18;;;;;
96;1N70000101;39;39;3;78;0I0H0I;221;82;;NORMAL;0I1B0O260I0H0I652A;0I1B0O260I0H0I652A;OK;;;;18;18;;;;;
97;1S20000101;39;39;3;78;0I0H0I;221;82;;NORMAL;0I1G0J260I0H0I652A;0I1G0J260I0H0I652A;OK;;;;18;18;;;;;
98;1T10000101;39;39;3;78;0I0H0I;221;82;;NORMAL;0I1H0I260I0H0I652A;0I1H0I260I0H0I652A;OK;;;;18;18;;;;;
99;2T00000101;39;39;2;29;0I0H0I;222;34;0;NORMAL;0J1H0T0I0H0I660Y0;0J1H0T0I0H0I660Y0;OK;;;;17;17;;;;;
100;3M60000101;39;39;3;78;0I0H0I;221;82;;NORMAL;0K1A0N260I0H0I652A;0K1A0N260I0H0I652A;OK;;;;18;18;;;;;
101;BXDRJ00101;139;39;5;20;0I0H0I;219;22;0;NORMAL;0Z1L111F170K0I0H0I630M0;0Z1L111F170K0I0H0I630M0;OK;;;;23;23;;;;;
102;N800000101;39;39;2;29;0I0H0I;222;34;0;NORMAL;1B0P0T0I0H0I660Y0;1B0P0T0I0H0I660Y0;OK;;;;17;17;;;;;
103;NGLOJ00101;139;39;5;20;0I0H0I;219;22;0;NORMAL;1B14191C170K0I0H0I630M0;1B14191C170K0I0H0I630M0;OK;;;;23;23;;;;;
104;R3YRJ00101;139;39;5;20;0I0H0I;219;22;0;NORMAL;1F0K1M1F170K0I0H0I630M0;1F0K1M1F170K0I0H0I630M0;OK;;;;23;23;;;;;
105;U100000101;39;39;2;29;0I0H0I;222;34;0;NORMAL;1I0I0T0I0H0I660Y0;1I0I0T0I0H0I660Y0;OK;;;;17;17;;;;;
106;VI8YJ00101;139;39;5;20;0I0H0I;219;22;0;NORMAL;1J160P1M170K0I0H0I630M0;1J160P1M170K0I0H0I630M0;OK;;;;23;23;;;;;
107;1BD0000101;40;40;3;79;0I0I0H;221;83;;NORMAL;0I0Z11270I0I0H652B;0I0Z11270I0I0H652B;OK;;;;18;18;;;;;
108;1CC0000101;40;40;3;79;0I0I0H;221;83;;NORMAL;0I1010270I0I0H652B;0I1010270I0I0H652B;OK;;;;18;18;;;;;
109;1DB0000101;40;40;3;79;0I0I0H;221;83;;NORMAL;0I110Z270I0I0H652B;0I110Z270I0I0H652B;OK;;;;18;18;;;;;
110;1EA0000101;40;40;3;79;0I0I0H;221;83;;NORMAL;0I120Y270I0I0H652B;0I120Y270I0I0H652B;OK;;;;18;18;;;;;
111;1O70000101;40;40;3;79;0I0I0H;221;83;;NORMAL;0I1C0O270I0I0H652B;0I1C0O270I0I0H652B;OK;;;;18;18;;;;;
112;1P60000101;40;40;3;79;0I0I0H;221;83;;NORMAL;0I1D0N270I0I0H652B;0I1D0N270I0I0H652B;OK;;;;18;18;;;;;
113;1Q50000101;40;40;3;79;0I0I0H;221;83;;NORMAL;0I1E0M270I0I0H652B;0I1E0M270I0I0H652B;OK;;;;18;18;;;;;
114;1S30000101;40;40;3;79;0I0I0H;221;83;;NORMAL;0I1G0K270I0I0H652B;0I1G0K270I0I0H652B;OK;;;;18;18;;;;;
